data,variable,correlation_true,mutual_info,unpriv_prob_pos,unpriv_unbalance,priv_unbalance,statistical_parity,equal_opportunity,average_odds,skew_var,gini,simpson,shannon,ir,pos_prob
compas,c_charge_desc=Sale_Del_Counterfeit_Cont_Subs,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Sell_or_Offer_for_Sale_Counterfeit_Goods,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Shoot_In_Occupied_Dwell,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Solic_to_Commit_Battery,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Solicit_Deliver_Cocaine,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Solicitation_On_Felony_3_Deg,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Soliciting_For_Prostitution,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Sound_Articles_Over_100,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
compas,c_charge_desc=Stalking_(Aggravated),-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,0.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Strong_Armed__Robbery,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198171,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Susp_Drivers_Lic_1st_Offense,0.0057736808316232,1.658326056956823e-05,0.5504885993485342,1.000297867842764,0.9085545722713864,1.0,1.0,1.0,17.50700200859335,0.1123805718408784,8.488010563101136e-05,0.998710206488986,0.0031593690225611,0.0504885993485342
compas,c_charge_desc=Tampering_With_Physical_Evidence,0.0894363875444603,0.0052157849199771,0.553921568627451,1.0065359477124185,0.0,1.0,0.0,1.0,12.31848830022492,0.1121958278517182,8.543304442472388e-05,0.9987137089333002,0.0064383099677217,0.553921568627451
compas,c_charge_desc=Threat_Public_Servant,-0.0364504150230707,0.0009706349138429,0.5495934959349593,0.998671367244646,1.8171091445427727,1.0,1.0,1.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.4504065040650407
compas,c_charge_desc=Throw_Deadly_Missile_Into_Veh,0.0446089916708338,0.0012990658436362,0.551219512195122,1.001626016260163,0.0,1.0,1.0,0.0,24.81934729198172,0.1124729438354585,8.460496943970178e-05,0.9987082271055928,0.0015278959669203,0.551219512195122
